Var1,Var2
HMR_0581,Glycerophospholipid metabolism
HMR_0582,Glycerophospholipid metabolism
HMR_0584,Glycerophospholipid metabolism
HMR_0586,Glycerophospholipid metabolism
HMR_0588,Glycerolipid metabolism
HMR_0589,Glycerophospholipid metabolism
HMR_0590,Glycerophospholipid metabolism
HMR_0591,Glycerophospholipid metabolism
HMR_0592,Glycerophospholipid metabolism
HMR_0593,Glycerophospholipid metabolism
HMR_0594,Glycerophospholipid metabolism
HMR_0596,Glycerolipid metabolism
HMR_0597,Glycerophospholipid metabolism
HMR_0598,Glycerophospholipid metabolism
HMR_0599,Glycerophospholipid metabolism
HMR_0600,Glycerophospholipid metabolism
HMR_0601,Glycerophospholipid metabolism
HMR_0602,Glycerophospholipid metabolism
HMR_0604,Acylglycerides metabolism
HMR_0605,Acylglycerides metabolism
HMR_0607,Glycerophospholipid metabolism
HMR_0610,Glycerophospholipid metabolism
HMR_0612,Transport reactions
HMR_0613,Glycerophospholipid metabolism
HMR_0614,Glycerophospholipid metabolism
HMR_0615,Glycerophospholipid metabolism
HMR_0616,Glycerophospholipid metabolism
HMR_0622,Glycerophospholipid metabolism
HMR_0623,Glycerophospholipid metabolism
HMR_0625,Glycerophospholipid metabolism
HMR_0627,Glycerophospholipid metabolism
HMR_0629,Glycerophospholipid metabolism
HMR_0630,Glycerophospholipid metabolism
HMR_0632,Glycerophospholipid metabolism
HMR_0633,Glycerophospholipid metabolism
HMR_0634,Glycerophospholipid metabolism
HMR_0635,Glycerophospholipid metabolism
HMR_0636,Glycerophospholipid metabolism
HMR_0638,Glycerophospholipid metabolism
HMR_0642,Glycerophospholipid metabolism
HMR_0643,Glycerophospholipid metabolism
HMR_0644,Glycerophospholipid metabolism
HMR_0645,Glycerophospholipid metabolism
HMR_0646,Glycerophospholipid metabolism
HMR_0648,Glycerophospholipid metabolism
HMR_0651,Glycerophospholipid metabolism
HMR_0653,Glycerophospholipid metabolism
HMR_0654,Glycerophospholipid metabolism
HMR_0657,Glycerophospholipid metabolism
HMR_0660,Glycerophospholipid metabolism
HMR_0663,Inositol phosphate metabolism
HMR_0665,Acylglycerides metabolism
HMR_0667,Acylglycerides metabolism
HMR_0668,Acylglycerides metabolism
HMR_0669,Acylglycerides metabolism
HMR_0670,Acylglycerides metabolism
HMR_0671,Acylglycerides metabolism
HMR_0672,Acylglycerides metabolism
HMR_0673,Glycerolipid metabolism
HMR_0674,Glycerolipid metabolism
HMR_0675,Glycerolipid metabolism
HMR_0676,Glycerolipid metabolism
HMR_0677,Glycerolipid metabolism
HMR_0678,Glycerolipid metabolism
HMR_0679,Acylglycerides metabolism
HMR_0680,Acylglycerides metabolism
HMR_0681,Acylglycerides metabolism
HMR_0682,Acylglycerides metabolism
HMR_0683,Acylglycerides metabolism
HMR_0684,Acylglycerides metabolism
HMR_0709,Fatty acid biosynthesis
HMR_0710,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_0712,Nicotinate and nicotinamide metabolism
HMR_0713,Transport reactions
HMR_0730,Transport reactions
HMR_0731,Transport reactions
HMR_0734,Transport reactions
HMR_0735,Sphingolipid metabolism
HMR_0736,Sphingolipid metabolism
HMR_0738,Sphingolipid metabolism
HMR_0741,Sphingolipid metabolism
HMR_0744,Sphingolipid metabolism
HMR_0746,Sphingolipid metabolism
HMR_0748,Sphingolipid metabolism
HMR_0750,Sphingolipid metabolism
HMR_0753,Sphingolipid metabolism
HMR_0754,Sphingolipid metabolism
HMR_0758,Sphingolipid metabolism
HMR_0760,Sphingolipid metabolism
HMR_0761,Sphingolipid metabolism
HMR_0762,Sphingolipid metabolism
HMR_0765,Sphingolipid metabolism
HMR_0766,Sphingolipid metabolism
HMR_0767,Sphingolipid metabolism
HMR_0768,Transport reactions
HMR_0770,Transport reactions
HMR_0773,Sphingolipid metabolism
HMR_0775,Sphingolipid metabolism
HMR_0779,Sphingolipid metabolism
HMR_0781,Sphingolipid metabolism
HMR_0786,Sphingolipid metabolism
HMR_0787,Glycosphingolipid metabolism
HMR_0790,Glycosphingolipid metabolism
HMR_0791,Transport reactions
HMR_0792,Glycosphingolipid metabolism
HMR_0794,Glycosphingolipid metabolism
HMR_0795,Sphingolipid metabolism
HMR_0797,Glycosphingolipid metabolism
HMR_0801,Glycosphingolipid biosynthesis-globo series
HMR_0803,Glycosphingolipid biosynthesis-globo series
HMR_0804,Glycosphingolipid metabolism
HMR_0805,Glycosphingolipid biosynthesis-globo series
HMR_0807,Glycosphingolipid biosynthesis-globo series
HMR_0808,Glycosphingolipid metabolism
HMR_0809,Glycosphingolipid biosynthesis-globo series
HMR_0810,Glycosphingolipid biosynthesis-globo series
HMR_0811,Glycosphingolipid biosynthesis-globo series
HMR_0812,Glycosphingolipid biosynthesis-globo series
HMR_0817,Glycosphingolipid biosynthesis-ganglio series
HMR_0819,Glycosphingolipid biosynthesis-ganglio series
HMR_0820,Glycosphingolipid biosynthesis-ganglio series
HMR_0821,Glycosphingolipid biosynthesis-ganglio series
HMR_0823,Glycosphingolipid biosynthesis-ganglio series
HMR_0824,Glycosphingolipid biosynthesis-ganglio series
HMR_0825,Glycosphingolipid biosynthesis-ganglio series
HMR_0826,Glycosphingolipid metabolism
HMR_0828,Glycosphingolipid biosynthesis-ganglio series
HMR_0830,Glycosphingolipid biosynthesis-ganglio series
HMR_0835,Glycosphingolipid metabolism
HMR_0836,Glycosphingolipid metabolism
HMR_0837,Glycosphingolipid biosynthesis-ganglio series
HMR_0838,Glycosphingolipid biosynthesis-ganglio series
HMR_0844,Glycosphingolipid biosynthesis-ganglio series
HMR_0845,Glycosphingolipid biosynthesis-ganglio series
HMR_0847,Glycosphingolipid biosynthesis-ganglio series
HMR_0848,Glycosphingolipid biosynthesis-ganglio series
HMR_0849,Glycosphingolipid biosynthesis-ganglio series
HMR_0850,Glycosphingolipid biosynthesis-ganglio series
HMR_0855,Glycosphingolipid biosynthesis-ganglio series
HMR_0859,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0860,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0864,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0865,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0866,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0867,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0870,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0873,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0875,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0883,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0884,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0885,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0886,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0889,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0890,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0891,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0892,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0893,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0894,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0895,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0898,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0899,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0900,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0902,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0903,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0904,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0906,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0908,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0909,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0911,Glycosphingolipid biosynthesis-lacto and neolacto series
HMR_0918,Transport reactions
HMR_0920,Glycosphingolipid metabolism
HMR_0924,Glycosphingolipid metabolism
HMR_0925,Glycosphingolipid metabolism
HMR_0926,Glycosphingolipid metabolism
HMR_0929,Transport reactions
HMR_0931,Arachidonic acid metabolism
HMR_0932,Arachidonic acid metabolism
HMR_0933,Arachidonic acid metabolism
HMR_0934,Arachidonic acid metabolism
HMR_0935,Arachidonic acid metabolism
HMR_0936,Arachidonic acid metabolism
HMR_0937,Arachidonic acid metabolism
HMR_0938,Arachidonic acid metabolism
HMR_0939,Arachidonic acid metabolism
HMR_0940,Arachidonic acid metabolism
HMR_0942,Arachidonic acid metabolism
HMR_0943,Arachidonic acid metabolism
HMR_0944,Arachidonic acid metabolism
HMR_0945,Arachidonic acid metabolism
HMR_0946,Arachidonic acid metabolism
HMR_0947,Arachidonic acid metabolism
HMR_0948,Arachidonic acid metabolism
HMR_0949,Arachidonic acid metabolism
HMR_0950,Arachidonic acid metabolism
HMR_0951,Arachidonic acid metabolism
HMR_0953,Arachidonic acid metabolism
HMR_0954,Arachidonic acid metabolism
HMR_0955,Arachidonic acid metabolism
HMR_0956,Arachidonic acid metabolism
HMR_0957,Arachidonic acid metabolism
HMR_0958,Arachidonic acid metabolism
HMR_0959,Arachidonic acid metabolism
HMR_0960,Arachidonic acid metabolism
HMR_0962,Transport reactions
HMR_0963,Arachidonic acid metabolism
HMR_0964,Arachidonic acid metabolism
HMR_0969,Arachidonic acid metabolism
HMR_0971,Arachidonic acid metabolism
HMR_0973,Arachidonic acid metabolism
HMR_0980,Arachidonic acid metabolism
HMR_0981,Arachidonic acid metabolism
HMR_0983,Arachidonic acid metabolism
HMR_0984,Transport reactions
HMR_0985,Arachidonic acid metabolism
HMR_0986,Arachidonic acid metabolism
HMR_0987,Arachidonic acid metabolism
HMR_0991,Arachidonic acid metabolism
HMR_0992,Arachidonic acid metabolism
HMR_0993,Arachidonic acid metabolism
HMR_0994,Arachidonic acid metabolism
HMR_0995,Arachidonic acid metabolism
HMR_0996,Arachidonic acid metabolism
HMR_0997,Arachidonic acid metabolism
HMR_0998,Arachidonic acid metabolism
HMR_0999,Arachidonic acid metabolism
HMR_1000,Arachidonic acid metabolism
HMR_1002,Arachidonic acid metabolism
HMR_10023,Transport reactions
HMR_10024,Exchange/demand reactions
HMR_10026,Exchange/demand reactions
HMR_10027,Exchange/demand reactions
HMR_1003,Arachidonic acid metabolism
HMR_10036,Pool reactions
HMR_10037,Pool reactions
HMR_1004,Arachidonic acid metabolism
HMR_10040,Transport reactions
HMR_10047,Exchange/demand reactions
HMR_10049,Transport reactions
HMR_10053,Transport reactions
HMR_10058,Transport reactions
HMR_1006,Arachidonic acid metabolism
HMR_10061,Ether lipid metabolism
HMR_10062,Artificial reactions
HMR_10063,Artificial reactions
HMR_10064,Artificial reactions
HMR_10065,Artificial reactions
HMR_10066,Steroid metabolism
HMR_10067,Inositol phosphate metabolism
HMR_1007,Arachidonic acid metabolism
HMR_10077,Exchange/demand reactions
HMR_1008,Arachidonic acid metabolism
HMR_10081,Exchange/demand reactions
HMR_10082,Transport reactions
HMR_10083,Exchange/demand reactions
HMR_10084,Exchange/demand reactions
HMR_10085,Exchange/demand reactions
HMR_10086,Exchange/demand reactions
HMR_10087,Exchange/demand reactions
HMR_10088,Exchange/demand reactions
HMR_10091,Exchange/demand reactions
HMR_10097,Bile acid biosynthesis
HMR_10099,Bile acid biosynthesis
HMR_1010,Arachidonic acid metabolism
HMR_10100,Transport reactions
HMR_10101,Transport reactions
HMR_10102,Transport reactions
HMR_10103,Transport reactions
HMR_10105,Bile acid biosynthesis
HMR_10107,Bile acid biosynthesis
HMR_10108,Bile acid biosynthesis
HMR_10109,Transport reactions
HMR_1011,Arachidonic acid metabolism
HMR_10110,Transport reactions
HMR_10111,Bile acid biosynthesis
HMR_10113,Bile acid biosynthesis
HMR_10114,Bile acid biosynthesis
HMR_10117,Transport reactions
HMR_10118,Transport reactions
HMR_10119,Transport reactions
HMR_10120,Transport reactions
HMR_10121,Bile acid biosynthesis
HMR_10124,Bile acid biosynthesis
HMR_10125,Transport reactions
HMR_10126,Transport reactions
HMR_10127,Transport reactions
HMR_1013,Arachidonic acid metabolism
HMR_10132,Exchange/demand reactions
HMR_1014,Arachidonic acid metabolism
HMR_1015,Arachidonic acid metabolism
HMR_1016,Arachidonic acid metabolism
HMR_1017,Arachidonic acid metabolism
HMR_1018,Arachidonic acid metabolism
HMR_1020,Arachidonic acid metabolism
HMR_1021,Arachidonic acid metabolism
HMR_1022,Arachidonic acid metabolism
HMR_1023,Arachidonic acid metabolism
HMR_1025,Arachidonic acid metabolism
HMR_1026,Arachidonic acid metabolism
HMR_1027,Arachidonic acid metabolism
HMR_1028,Arachidonic acid metabolism
HMR_1033,Arachidonic acid metabolism
HMR_1035,Transport reactions
HMR_1037,Arachidonic acid metabolism
HMR_1039,Arachidonic acid metabolism
HMR_1043,Arachidonic acid metabolism
HMR_1045,Arachidonic acid metabolism
HMR_1048,Arachidonic acid metabolism
HMR_1049,Arachidonic acid metabolism
HMR_1050,Arachidonic acid metabolism
HMR_1054,Arachidonic acid metabolism
HMR_1055,Arachidonic acid metabolism
HMR_1057,Arachidonic acid metabolism
HMR_1058,Arachidonic acid metabolism
HMR_1059,Arachidonic acid metabolism
HMR_1061,Arachidonic acid metabolism
HMR_1065,Arachidonic acid metabolism
HMR_1066,Arachidonic acid metabolism
HMR_1067,Arachidonic acid metabolism
HMR_1068,Arachidonic acid metabolism
HMR_1069,Arachidonic acid metabolism
HMR_1070,Arachidonic acid metabolism
HMR_1071,Arachidonic acid metabolism
HMR_1072,Arachidonic acid metabolism
HMR_1074,Arachidonic acid metabolism
HMR_1075,Arachidonic acid metabolism
HMR_1077,Arachidonic acid metabolism
HMR_1080,Leukotriene metabolism
HMR_1081,Leukotriene metabolism
HMR_1082,Transport reactions
HMR_1084,Leukotriene metabolism
HMR_1088,Leukotriene metabolism
HMR_1091,Leukotriene metabolism
HMR_1093,Leukotriene metabolism
HMR_1094,Transport reactions
HMR_1096,Leukotriene metabolism
HMR_1097,Leukotriene metabolism
HMR_1098,Leukotriene metabolism
HMR_1099,Leukotriene metabolism
HMR_1100,Leukotriene metabolism
HMR_1101,Leukotriene metabolism
HMR_1102,Leukotriene metabolism
HMR_1103,Leukotriene metabolism
HMR_1104,Transport reactions
HMR_1105,Leukotriene metabolism
HMR_1106,Leukotriene metabolism
HMR_1107,Leukotriene metabolism
HMR_1108,Leukotriene metabolism
HMR_1109,Leukotriene metabolism
HMR_1110,Leukotriene metabolism
HMR_1111,Leukotriene metabolism
HMR_1112,Leukotriene metabolism
HMR_1116,Leukotriene metabolism
HMR_1117,Leukotriene metabolism
HMR_1119,Leukotriene metabolism
HMR_1120,Leukotriene metabolism
HMR_1121,Leukotriene metabolism
HMR_1122,Leukotriene metabolism
HMR_1123,Leukotriene metabolism
HMR_1124,Leukotriene metabolism
HMR_1125,Leukotriene metabolism
HMR_1126,Leukotriene metabolism
HMR_1127,Leukotriene metabolism
HMR_1128,Leukotriene metabolism
HMR_1129,Leukotriene metabolism
HMR_1130,Leukotriene metabolism
HMR_1131,Leukotriene metabolism
HMR_1132,Leukotriene metabolism
HMR_1133,Leukotriene metabolism
HMR_1134,Leukotriene metabolism
HMR_1137,Leukotriene metabolism
HMR_1138,Leukotriene metabolism
HMR_1139,Leukotriene metabolism
HMR_1140,Leukotriene metabolism
HMR_1146,Leukotriene metabolism
HMR_1147,Leukotriene metabolism
HMR_1148,Leukotriene metabolism
HMR_1149,Leukotriene metabolism
HMR_1150,Leukotriene metabolism
HMR_1151,Leukotriene metabolism
HMR_1152,Leukotriene metabolism
HMR_1153,Leukotriene metabolism
HMR_1154,Leukotriene metabolism
HMR_1155,Leukotriene metabolism
HMR_1156,Leukotriene metabolism
HMR_1157,Leukotriene metabolism
HMR_1158,Leukotriene metabolism
HMR_1159,Leukotriene metabolism
HMR_1160,Leukotriene metabolism
HMR_1161,Leukotriene metabolism
HMR_1162,Leukotriene metabolism
HMR_1163,Leukotriene metabolism
HMR_1164,Leukotriene metabolism
HMR_1165,Leukotriene metabolism
HMR_1166,Leukotriene metabolism
HMR_1167,Leukotriene metabolism
HMR_1168,Leukotriene metabolism
HMR_1170,Leukotriene metabolism
HMR_1171,Leukotriene metabolism
HMR_1174,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1175,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1177,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1178,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1179,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1180,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1181,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1182,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1183,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1184,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1190,Leukotriene metabolism
HMR_1191,Leukotriene metabolism
HMR_1192,Leukotriene metabolism
HMR_1193,Leukotriene metabolism
HMR_1194,Leukotriene metabolism
HMR_1195,Leukotriene metabolism
HMR_1196,Leukotriene metabolism
HMR_1200,Leukotriene metabolism
HMR_1201,Leukotriene metabolism
HMR_1202,Leukotriene metabolism
HMR_1203,Leukotriene metabolism
HMR_1204,Leukotriene metabolism
HMR_1205,Leukotriene metabolism
HMR_1206,Leukotriene metabolism
HMR_1207,Leukotriene metabolism
HMR_1208,Leukotriene metabolism
HMR_1209,Leukotriene metabolism
HMR_1210,Leukotriene metabolism
HMR_1211,Leukotriene metabolism
HMR_1212,Leukotriene metabolism
HMR_1213,Leukotriene metabolism
HMR_1216,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1217,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1218,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1219,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1220,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1221,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1222,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1223,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1224,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1225,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1226,Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
HMR_1228,Leukotriene metabolism
HMR_1229,Leukotriene metabolism
HMR_1230,Leukotriene metabolism
HMR_1231,Leukotriene metabolism
HMR_1232,Leukotriene metabolism
HMR_1233,Leukotriene metabolism
HMR_1234,Leukotriene metabolism
HMR_1235,Leukotriene metabolism
HMR_1236,Leukotriene metabolism
HMR_1237,Leukotriene metabolism
HMR_1238,Leukotriene metabolism
HMR_1239,Leukotriene metabolism
HMR_1241,Leukotriene metabolism
HMR_1242,Transport reactions
HMR_1243,Transport reactions
HMR_1244,Leukotriene metabolism
HMR_1245,Leukotriene metabolism
HMR_1246,Leukotriene metabolism
HMR_1248,Leukotriene metabolism
HMR_1249,Leukotriene metabolism
HMR_1250,Leukotriene metabolism
HMR_1251,Leukotriene metabolism
HMR_1253,Leukotriene metabolism
HMR_1254,Leukotriene metabolism
HMR_1255,Leukotriene metabolism
HMR_1256,Leukotriene metabolism
HMR_1257,Leukotriene metabolism
HMR_1258,Leukotriene metabolism
HMR_1259,Leukotriene metabolism
HMR_1260,Leukotriene metabolism
HMR_1261,Leukotriene metabolism
HMR_1262,Leukotriene metabolism
HMR_1263,Leukotriene metabolism
HMR_1264,Leukotriene metabolism
HMR_1265,Leukotriene metabolism
HMR_1266,Leukotriene metabolism
HMR_1269,Transport reactions
HMR_1270,Leukotriene metabolism
HMR_1271,Leukotriene metabolism
HMR_1272,Leukotriene metabolism
HMR_1273,Leukotriene metabolism
HMR_1274,Leukotriene metabolism
HMR_1275,Leukotriene metabolism
HMR_1276,Leukotriene metabolism
HMR_1277,Leukotriene metabolism
HMR_1278,Leukotriene metabolism
HMR_1279,Leukotriene metabolism
HMR_1280,Leukotriene metabolism
HMR_1281,Leukotriene metabolism
HMR_1282,Leukotriene metabolism
HMR_1286,Transport reactions
HMR_1287,Leukotriene metabolism
HMR_1288,Leukotriene metabolism
HMR_1289,Leukotriene metabolism
HMR_1290,Leukotriene metabolism
HMR_1291,Leukotriene metabolism
HMR_1292,Leukotriene metabolism
HMR_1293,Leukotriene metabolism
HMR_1294,Leukotriene metabolism
HMR_1295,Leukotriene metabolism
HMR_1296,Leukotriene metabolism
HMR_1297,Leukotriene metabolism
HMR_1298,Leukotriene metabolism
HMR_1299,Leukotriene metabolism
HMR_1300,Leukotriene metabolism
HMR_1301,Leukotriene metabolism
HMR_1303,Leukotriene metabolism
HMR_1304,Leukotriene metabolism
HMR_1305,Prostaglandin biosynthesis
HMR_1307,Prostaglandin biosynthesis
HMR_1312,Prostaglandin biosynthesis
HMR_1317,Prostaglandin biosynthesis
HMR_1321,Prostaglandin biosynthesis
HMR_1325,Prostaglandin biosynthesis
HMR_1326,Prostaglandin biosynthesis
HMR_1327,Prostaglandin biosynthesis
HMR_1329,Prostaglandin biosynthesis
HMR_1332,Prostaglandin biosynthesis
HMR_1344,Prostaglandin biosynthesis
HMR_1346,Prostaglandin biosynthesis
HMR_1347,Prostaglandin biosynthesis
HMR_1350,Prostaglandin biosynthesis
HMR_1367,Prostaglandin biosynthesis
HMR_1370,Prostaglandin biosynthesis
HMR_1375,Prostaglandin biosynthesis
HMR_1379,Prostaglandin biosynthesis
HMR_1382,Prostaglandin biosynthesis
HMR_1384,Prostaglandin biosynthesis
HMR_1387,Prostaglandin biosynthesis
HMR_1390,Prostaglandin biosynthesis
HMR_1391,Prostaglandin biosynthesis
HMR_1392,Transport reactions
HMR_1393,Prostaglandin biosynthesis
HMR_1394,Prostaglandin biosynthesis
HMR_1395,Prostaglandin biosynthesis
HMR_1398,Prostaglandin biosynthesis
HMR_1434,Butanoate metabolism
HMR_1436,Butanoate metabolism
HMR_1437,Cholesterol metabolism
HMR_1440,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1443,Transport reactions
HMR_1445,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1448,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1451,Cholesterol metabolism
HMR_1454,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1457,Cholesterol metabolism
HMR_1460,Cholesterol metabolism
HMR_1465,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1467,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1470,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1473,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1477,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1478,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1479,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1484,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1490,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1493,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1494,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1495,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1496,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1500,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1502,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1503,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1504,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1505,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1509,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1512,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1516,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1519,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1526,Cholesterol biosynthesis 1 (Bloch pathway) 
HMR_1532,N-glycan metabolism
HMR_1533,Cholesterol biosynthesis 2
HMR_1535,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1536,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1538,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1539,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1540,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1543,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1544,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1545,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1546,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1547,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1548,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1549,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1550,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1551,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1552,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1553,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
HMR_1558,Cholesterol biosynthesis 2
HMR_1565,Cholesterol biosynthesis 2
HMR_1568,Pyruvate metabolism
HMR_1570,Cholesterol metabolism
HMR_1576,Cholesterol metabolism
HMR_1577,Cholesterol metabolism
HMR_1581,Bile acid biosynthesis
HMR_1584,Bile acid biosynthesis
HMR_1585,Bile acid biosynthesis
HMR_1593,Transport reactions
HMR_1595,Bile acid biosynthesis
HMR_1599,Bile acid biosynthesis
HMR_1619,Transport reactions
HMR_1620,Transport reactions
HMR_1622,Transport reactions
HMR_1624,Bile acid biosynthesis
HMR_1625,Bile acid biosynthesis
HMR_1627,Bile acid biosynthesis
HMR_1630,Transport reactions
HMR_1632,Bile acid biosynthesis
HMR_1635,Bile acid biosynthesis
HMR_1637,Bile acid biosynthesis
HMR_1638,Bile acid biosynthesis
HMR_1639,Bile acid biosynthesis
HMR_1642,Bile acid biosynthesis
HMR_1644,Steroid metabolism
HMR_1646,Bile acid biosynthesis
HMR_1651,Steroid metabolism
HMR_1652,Bile acid biosynthesis
HMR_1653,Bile acid biosynthesis
HMR_1656,Transport reactions
HMR_1659,Bile acid biosynthesis
HMR_1660,Bile acid biosynthesis
HMR_1662,Bile acid biosynthesis
HMR_1663,Bile acid biosynthesis
HMR_1665,Transport reactions
HMR_1666,Transport reactions
HMR_1672,Transport reactions
HMR_1673,Bile acid biosynthesis
HMR_1676,Bile acid biosynthesis
HMR_1681,Bile acid biosynthesis
HMR_1684,Bile acid biosynthesis
HMR_1692,Bile acid biosynthesis
HMR_1694,Transport reactions
HMR_1695,Transport reactions
HMR_1696,Transport reactions
HMR_1697,Bile acid biosynthesis
HMR_1699,Bile acid biosynthesis
HMR_1700,Bile acid biosynthesis
HMR_1706,Bile acid biosynthesis
HMR_1708,Bile acid biosynthesis
HMR_1710,Bile acid biosynthesis
HMR_1718,Bile acid biosynthesis
HMR_1726,Bile acid biosynthesis
HMR_1727,Bile acid biosynthesis
HMR_1730,Bile acid biosynthesis
HMR_1813,Bile acid biosynthesis
HMR_1830,Bile acid biosynthesis
HMR_1832,Bile acid biosynthesis
HMR_1833,Bile acid biosynthesis
HMR_1838,Bile acid biosynthesis
HMR_1844,Bile acid biosynthesis
HMR_1847,Bile acid recycling
HMR_1848,Bile acid recycling
HMR_1853,Bile acid recycling
HMR_1868,Bile acid recycling
