Var1,Var2
C4DCCACT,Fatty acid oxidation
C4OHc,Fatty acid oxidation
C4STMO1r,Cholesterol metabolism
C4STMO2Pr,Cholesterol metabolism
C4STMO2r,Cholesterol metabolism
C4tcx,Transport reactions
C4tmc,Transport reactions
C4x,Transport reactions
C50CPT1,Fatty acid oxidation
C51CPT1,Fatty acid oxidation
C60CPT1,Fatty acid oxidation
C6COAt,Transport reactions
C6CRNtcx,Transport reactions
C6DCCACT,Fatty acid oxidation
C6DCc,Fatty acid oxidation
C8DCc,Fatty acid oxidation
C9BRxtc,Transport reactions
CA24GSc,Bile acid biosynthesis
CA24Gte,Transport reactions
CA3Sabc,Transport reactions
CA3St,Transport reactions
CAATPS,Transport reactions
CDCA24GSc,Bile acid biosynthesis
CDCA24Gte,Transport reactions
CDCA3GSc,Bile acid biosynthesis
CDCA3Gte,Transport reactions
CDCA6AH,Bile acid biosynthesis
CDS,Glycerophospholipid metabolism
CDSm,Glycerophospholipid metabolism
CE1273t1,Transport reactions
CE1273t2,Transport reactions
CE1447te,Transport reactions
CE2510ABCt,Transport reactions
CE2537ABCt,Transport reactions
CE2705t,Transport reactions
CE4877te,Transport reactions
CE5025t,Transport reactions
CE5026t,Transport reactions
CE7085te,Transport reactions
CE7090te,Transport reactions
CE7096te,Transport reactions
CITL,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
CITRtm,Transport reactions
CITtam,Transport reactions
CLOHtex2,Transport reactions
CLPNDCRNt,Fatty acid oxidation
CLS_hs,Glycerophospholipid metabolism
COKEte,Transport reactions
COKEtr,Transport reactions
COPROSTabc,Transport reactions
COQ3m,Ubiquinone synthesis
COQ5m,Ubiquinone synthesis
COQ6m,Ubiquinone synthesis
COQ7m,Ubiquinone synthesis
COUCOAFm,Ubiquinone synthesis
CRNATBtc,Transport reactions
CRVSM1hr,Drug metabolism
CRVSM23hr,Drug metabolism
CSNAT2x,Fatty acid oxidation
CVM1GLUChc,Drug metabolism
CVM23GLUChc,Drug metabolism
CYOOm3i,Oxidative phosphorylation
CYSASNMETt,Transport reactions
CYSASPPHEt,Transport reactions
CYSCYSt,Transport reactions
CYSGLNMETt,Transport reactions
CYSGLUHISt,Transport reactions
CYSGLUTRPt,Transport reactions
CYSLEUTHRt,Transport reactions
CYSSERMETt,Transport reactions
CYSTYRASNt,Transport reactions
DAGKn_hs,Glycerophospholipid metabolism
DCA24GSc,Bile acid biosynthesis
DCA24Gte,Transport reactions
DCA3GSc,Bile acid biosynthesis
DCA3Gte,Transport reactions
DCA3Sabc,Transport reactions
DCA3St,Transport reactions
DCSPTN1COAtxc,Transport reactions
DCSPTN1CRNt,Fatty acid oxidation
DEOXFVShc,Drug metabolism
DESAT14_9,Fatty acid biosynthesis
DESAT16_2,Fatty acid biosynthesis
DESAT18_10,Fatty acid biosynthesis
DESAT18_3,Fatty acid biosynthesis
DESAT18_4,Fatty acid biosynthesis
DESAT18_5,Fatty acid biosynthesis
DESAT18_6,Fatty acid biosynthesis
DESAT18_7,Fatty acid biosynthesis
DESAT18_8,Fatty acid biosynthesis
DESAT18_9,Fatty acid biosynthesis
DESAT20_1,Fatty acid biosynthesis
DESAT20_2,Fatty acid biosynthesis
DGCHOLte,Transport reactions
DHCHOLESTANATEATP,Transport reactions
DHCR243r,Cholesterol metabolism
DHCR71r,Cholesterol metabolism
DHCR72r,Cholesterol metabolism
DIGALSGALSIDEATPte,Transport reactions
DLNLCGCRNt,Fatty acid oxidation
DMATTx,Cholesterol metabolism
DOCO13ECOAtxc,Transport reactions
DOCO13EFATP,Fatty acid oxidation
DOCOSCOAtxc,Transport reactions
DOLGLCP_Lter,N-glycan metabolism
DOPA3GLCURt,Transport reactions
DOPA4GLCURt,Transport reactions
DOPASULT4,Tyrosine metabolism
DPMVDx,Cholesterol metabolism
DSREDUCr,Cholesterol metabolism
DTMPKm,Pyrimidine metabolism
EBP1r,Cholesterol metabolism
EBP2r,Cholesterol metabolism
EIC21114TRc,Fatty acid oxidation
EICOSTETCRNt,Fatty acid oxidation
ELAIDCPT1,Fatty acid oxidation
ELAIDCPT2,Fatty acid oxidation
ELAIDCRNt,Fatty acid oxidation
ESTRAABCtc,Transport reactions
ETF,Fatty acid oxidation
ETFQO,Fatty acid oxidation
EX_12HPET[e],Exchange/demand reactions
